# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = ode_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = ode_4.data.R
# init = 2 (Default)
# random
#   seed = 3218298951
# output
#   file = ode_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y0.1,y0.2,sigma.1,sigma.2,theta.1,y_hat.1.1,y_hat.2.1,y_hat.3.1,y_hat.4.1,y_hat.5.1,y_hat.6.1,y_hat.7.1,y_hat.8.1,y_hat.9.1,y_hat.10.1,y_hat.11.1,y_hat.12.1,y_hat.13.1,y_hat.14.1,y_hat.15.1,y_hat.16.1,y_hat.17.1,y_hat.18.1,y_hat.19.1,y_hat.20.1,y_hat.21.1,y_hat.22.1,y_hat.23.1,y_hat.24.1,y_hat.25.1,y_hat.26.1,y_hat.27.1,y_hat.28.1,y_hat.29.1,y_hat.30.1,y_hat.31.1,y_hat.32.1,y_hat.33.1,y_hat.34.1,y_hat.35.1,y_hat.36.1,y_hat.37.1,y_hat.38.1,y_hat.39.1,y_hat.40.1,y_hat.41.1,y_hat.42.1,y_hat.43.1,y_hat.44.1,y_hat.45.1,y_hat.46.1,y_hat.47.1,y_hat.48.1,y_hat.49.1,y_hat.50.1,y_hat.51.1,y_hat.52.1,y_hat.53.1,y_hat.54.1,y_hat.55.1,y_hat.56.1,y_hat.57.1,y_hat.58.1,y_hat.59.1,y_hat.60.1,y_hat.61.1,y_hat.62.1,y_hat.63.1,y_hat.64.1,y_hat.65.1,y_hat.66.1,y_hat.67.1,y_hat.68.1,y_hat.69.1,y_hat.70.1,y_hat.71.1,y_hat.72.1,y_hat.73.1,y_hat.74.1,y_hat.75.1,y_hat.76.1,y_hat.77.1,y_hat.78.1,y_hat.79.1,y_hat.80.1,y_hat.81.1,y_hat.82.1,y_hat.83.1,y_hat.84.1,y_hat.85.1,y_hat.86.1,y_hat.87.1,y_hat.88.1,y_hat.89.1,y_hat.90.1,y_hat.91.1,y_hat.92.1,y_hat.93.1,y_hat.94.1,y_hat.95.1,y_hat.96.1,y_hat.97.1,y_hat.98.1,y_hat.99.1,y_hat.100.1,y_hat.1.2,y_hat.2.2,y_hat.3.2,y_hat.4.2,y_hat.5.2,y_hat.6.2,y_hat.7.2,y_hat.8.2,y_hat.9.2,y_hat.10.2,y_hat.11.2,y_hat.12.2,y_hat.13.2,y_hat.14.2,y_hat.15.2,y_hat.16.2,y_hat.17.2,y_hat.18.2,y_hat.19.2,y_hat.20.2,y_hat.21.2,y_hat.22.2,y_hat.23.2,y_hat.24.2,y_hat.25.2,y_hat.26.2,y_hat.27.2,y_hat.28.2,y_hat.29.2,y_hat.30.2,y_hat.31.2,y_hat.32.2,y_hat.33.2,y_hat.34.2,y_hat.35.2,y_hat.36.2,y_hat.37.2,y_hat.38.2,y_hat.39.2,y_hat.40.2,y_hat.41.2,y_hat.42.2,y_hat.43.2,y_hat.44.2,y_hat.45.2,y_hat.46.2,y_hat.47.2,y_hat.48.2,y_hat.49.2,y_hat.50.2,y_hat.51.2,y_hat.52.2,y_hat.53.2,y_hat.54.2,y_hat.55.2,y_hat.56.2,y_hat.57.2,y_hat.58.2,y_hat.59.2,y_hat.60.2,y_hat.61.2,y_hat.62.2,y_hat.63.2,y_hat.64.2,y_hat.65.2,y_hat.66.2,y_hat.67.2,y_hat.68.2,y_hat.69.2,y_hat.70.2,y_hat.71.2,y_hat.72.2,y_hat.73.2,y_hat.74.2,y_hat.75.2,y_hat.76.2,y_hat.77.2,y_hat.78.2,y_hat.79.2,y_hat.80.2,y_hat.81.2,y_hat.82.2,y_hat.83.2,y_hat.84.2,y_hat.85.2,y_hat.86.2,y_hat.87.2,y_hat.88.2,y_hat.89.2,y_hat.90.2,y_hat.91.2,y_hat.92.2,y_hat.93.2,y_hat.94.2,y_hat.95.2,y_hat.96.2,y_hat.97.2,y_hat.98.2,y_hat.99.2,y_hat.100.2
# Adaptation terminated
# Step size = 0.686436
# Diagonal elements of inverse mass matrix:
# 0.0133931, 0.0178224, 0.00469207, 0.00559736, 0.0056867
84.2429,0.749927,0.686436,3,7,0,-81.2035,1.20427,0.119142,0.420856,0.348628,0.693852,1.09271,1.02899,1.04767,1.15639,1.06139,1.26954,0.878473,0.870409,0.838863,0.96357,0.682818,0.660883,0.715181,0.452393,0.235607,0.361779,0.323283,0.322042,0.118117,0.130239,-0.0474121,-0.0184814,-0.128968,-0.107638,-0.00795576,-0.143383,-0.0761453,-0.196973,-0.476487,-0.263747,-0.407338,-0.475259,-0.322379,-0.253369,-0.210339,-0.48731,-0.465188,-0.324026,-0.355207,-0.352758,-0.374888,-0.0382611,-0.034494,0.152508,0.254493,0.186881,0.314316,0.207846,0.328197,0.246547,0.309357,0.115753,0.251005,0.0590085,0.186125,-0.000745329,-0.182359,0.157456,-0.0250562,-0.134243,-0.218946,0.10301,-0.0892877,-0.308075,-0.197147,-0.228649,-0.099108,-0.205757,-0.110047,-0.0882155,0.0579462,-0.115634,0.0548814,-0.00594128,0.345779,0.246649,0.0651705,0.0814353,0.273323,0.119672,0.0683528,-0.0154553,0.0152779,0.171062,0.0328476,0.0433819,-0.0403449,-0.0915401,-0.0248481,0.000988124,0.0966894,-0.0915771,-0.137054,0.14297,-0.138197,0.198149,-0.0636346,0.102436,-0.0872011,-0.0654812,-0.0846713,-0.0962928,-0.165023,-0.325294,-0.416744,-0.398056,-0.578912,-0.627885,-0.657609,-0.618824,-0.508617,-0.859337,-0.67401,-0.7659,-0.790084,-0.86171,-0.991515,-0.737318,-0.530745,-0.745207,-0.753764,-0.506684,-0.43435,-0.381606,-0.486803,-0.324238,-0.398575,-0.169436,-0.290286,-0.00746011,-0.221171,-0.0141139,-0.157366,0.104509,0.184003,0.143702,0.247043,0.0681802,0.30843,0.0309175,0.199252,0.144886,0.295045,0.169781,-0.0272403,0.0822641,-0.00816747,0.104092,0.0762201,-0.110934,-0.0134391,-0.126437,-0.247558,0.00686196,-0.220682,-0.23302,-0.156498,-0.276656,-0.181563,-0.103023,0.111739,-0.203795,-0.183661,-0.000656366,0.00582481,-0.0387955,0.125385,0.0858028,-0.031019,0.146335,0.229236,-0.0139927,0.107977,0.0700256,0.113593,0.114736,0.0578659,0.0160588,0.0816783,-0.10042,-0.018123,-0.0759053,0.0547329,0.0163267,-0.180297,0.200958,-0.0410754,0.0247885,0.246162,-0.143439,0.0762821,-0.245697,-0.146042,0.0941691,0.102537,-0.0151672,0.0198403,0.0212264,-0.0141382,0.174754
86.2051,0.95642,0.686436,2,3,0,-83.3922,1.20086,0.0274587,0.404062,0.37415,0.617134,1.05106,1.09591,1.22257,1.21321,0.999953,0.909123,0.863389,0.749223,0.982145,0.568158,0.904418,0.692545,0.380753,0.528474,0.289414,0.319916,0.309281,0.00300217,-0.0628943,0.111509,0.00791628,-0.14348,0.0443844,-0.305919,-0.428403,-0.288882,-0.495097,-0.239106,-0.529122,-0.195859,-0.427734,-0.270039,-0.534468,-0.499427,-0.524925,-0.557555,-0.538562,-0.24474,-0.423247,-0.419833,-0.278844,-0.0205902,-0.0621097,0.253297,0.31893,0.291055,0.4862,0.417347,0.543178,0.380961,0.457887,0.228368,0.171827,0.201553,0.222465,0.131495,0.00769196,-0.163708,-0.0990397,-0.169453,-0.177729,-0.173001,-0.321237,-0.266064,-0.378622,-0.235493,-0.364692,-0.0936391,-0.0602459,-0.098175,0.0618279,-0.00345592,0.0107082,0.0286794,0.102296,0.162935,0.368922,0.152585,0.108792,0.116393,0.0243166,0.0970137,0.0295646,0.283229,0.163966,-0.0458017,-0.177977,-0.0724272,0.0133251,-0.0812058,-0.104376,-0.122533,-0.143814,-0.0642341,-0.0762109,0.0132203,-0.0228668,-0.0537511,-0.0273314,-0.175557,0.033021,-0.151682,-0.365245,-0.43889,-0.552377,-0.637672,-0.704273,-0.540118,-0.726518,-0.86413,-0.796446,-0.790106,-0.918414,-0.674339,-0.602486,-0.931663,-0.818736,-0.879593,-0.480957,-0.804265,-0.641799,-0.684156,-0.562861,-0.372529,-0.569079,-0.398654,-0.521047,-0.238855,-0.178129,-0.0311956,-0.141,-0.0947388,-0.0329503,-0.0651497,0.0774208,0.161425,0.197821,0.248244,0.188823,0.180511,0.231818,0.339264,0.205412,-0.0631978,0.318712,0.338529,-0.0563546,-0.0393541,-0.0789957,-0.125858,0.00431269,-0.118233,-0.0046392,-0.0825953,-0.00837048,-0.255311,-0.0888636,-0.0894167,-0.209385,-0.121964,-0.068551,-0.0541972,0.0961862,-0.150542,-0.0604673,0.0467514,0.0746033,0.100539,-0.0107117,0.181253,-0.121333,0.18072,0.210336,0.134264,0.0657522,0.0289692,-0.0790748,-0.0829307,0.134995,0.0627051,-0.127098,0.0644416,-0.0056232,-0.143137,0.121644,-0.0754036,-0.0175318,-0.115824,-0.0283376,-0.00611123,0.0850526,-0.130079,-0.073771,-0.0152805,0.11654,-0.125634,0.016486,0.127164,-0.0699254,0.165962
83.6375,0.675736,0.686436,2,7,0,-79.9285,1.34517,-0.215344,0.41727,0.34496,0.85181,1.32104,1.1745,1.17132,1.28229,0.970343,0.988337,0.929408,0.827558,0.712385,0.770027,0.629633,0.45437,0.607176,0.525342,0.273759,0.229832,0.000464239,0.0698489,0.0699554,-0.00555511,0.0280656,0.0544789,-0.126961,-0.121743,-0.236978,-0.232922,0.0798701,-0.370638,-0.204552,-0.180114,-0.332585,-0.200156,-0.315047,-0.143894,-0.295076,-0.010188,-0.201475,-0.38186,-0.313065,-0.248238,-0.100547,0.00896838,-0.168902,-0.0428761,0.0345262,0.0590492,0.268333,0.36656,0.260945,0.272204,0.338638,0.279614,0.275474,0.153727,0.280228,0.0979829,0.0460227,0.00800039,0.0459206,-0.214092,-0.135214,-0.277256,-0.180209,0.072053,-0.11359,-0.194687,-0.0860026,-0.1381,-0.148045,-0.166262,0.0461575,0.0138742,0.12446,0.23286,0.0759595,0.154525,0.0499696,0.284901,0.0790677,-0.0262463,0.0321262,0.12008,0.0955255,0.0409702,-0.0650351,-0.123459,0.0795575,-0.0470475,0.0746341,-0.210404,-0.0133025,-0.00160192,-0.0343182,-0.0539312,-0.181588,-0.177552,-0.152714,-0.0761757,0.000216297,-0.162705,-0.188039,-0.423387,-0.275473,-0.564718,-0.643348,-0.630062,-0.641674,-0.706955,-0.763699,-0.692422,-0.900567,-0.956315,-0.787523,-0.742281,-0.698413,-0.655757,-0.711438,-0.595104,-0.377194,-0.585495,-0.463335,-0.240559,-0.427512,-0.257929,-0.385639,-0.263702,-0.0996772,-0.0683031,-0.0992511,-0.252619,-0.110225,-0.0862055,-0.0549083,-0.0641943,0.0297158,0.0895454,0.213869,0.210639,-0.0239703,0.0707647,0.302617,-0.0697887,-0.0168699,0.0591746,0.1482,-0.00848044,-0.066811,0.292563,-0.0383275,0.125595,-0.209448,0.0849819,0.0185377,-0.122234,-0.255866,-0.13662,-0.231468,0.04773,-0.0195891,-0.0811305,0.00540836,-0.129241,0.115121,0.0789833,0.0301297,-0.072131,0.0564078,0.11311,-0.0581718,0.120671,-0.0713172,0.156621,0.163817,0.0917348,0.124984,-0.0406632,-0.0474274,0.00521281,0.00328306,-0.136181,0.0366151,-0.00234915,-0.0568103,0.0289519,-0.173272,-0.0575328,0.0297758,0.0777132,0.00324544,0.180334,0.0270228,-0.0136496,0.236364,-0.044963,0.0833512,0.0572108,-0.0787434,-0.0463728,-0.0287255,-0.0334269
84.5202,0.982826,0.686436,3,7,0,-82.7756,1.00753,-0.0488242,0.385102,0.429058,0.665784,0.918617,1.06484,0.919142,0.943739,0.957749,0.962357,0.777576,0.743279,0.648829,0.620731,0.583141,0.42816,0.274145,0.474133,0.345624,0.310534,0.225187,0.0441232,0.0572388,0.139872,-0.0823784,-0.111967,-0.148883,-0.29919,-0.307605,-0.135565,-0.251285,-0.168483,-0.334399,-0.327966,-0.448803,-0.297888,-0.392622,-0.175523,-0.174508,-0.364334,-0.29079,-0.287489,-0.0763289,-0.296687,-0.19202,0.0168747,0.0724867,0.0827154,0.270231,0.241534,0.198895,0.319726,0.0820263,0.362598,0.414888,0.378172,0.266627,0.1385,0.208246,0.0256919,-0.00563463,0.0192478,-0.0688253,-0.217024,-0.252087,-0.329381,-0.190045,-0.384691,-0.261312,-0.225942,0.0218889,-0.136458,-0.237997,-0.0548407,-0.0612198,-0.0801334,0.173783,-0.0345769,0.102945,0.10216,0.117988,0.103266,0.203983,0.196512,0.0572043,0.157124,0.160162,0.132566,0.178759,0.0620034,0.0165319,-0.197879,-0.0921303,-0.0673591,-0.11109,-0.0531935,-0.156093,0.0574856,0.100368,0.0991404,0.0664042,-0.011485,-0.0698208,0.050934,0.113198,-0.208452,-0.360858,-0.32452,-0.608257,-0.59609,-0.459633,-0.664518,-0.567668,-0.753964,-0.758372,-0.5565,-0.674849,-0.729747,-0.651479,-0.666521,-0.609729,-0.589659,-0.565723,-0.657648,-0.484704,-0.241145,-0.425643,-0.453013,-0.392609,-0.280191,-0.351384,-0.184329,-0.108871,0.191565,-0.0328249,-0.038442,-0.0512718,0.0417566,0.190762,0.064943,0.168161,0.0944052,-0.0397861,0.0480251,0.214267,0.40785,0.259353,0.170876,0.220858,0.195698,0.131668,0.109214,-0.0383434,-0.182331,0.0742972,0.0854001,-0.13306,-0.183933,-0.192731,0.0345799,-0.121805,-0.119056,-0.227321,-0.106822,0.0347572,0.0275463,-0.11605,-0.0224238,0.0661542,0.0473535,0.0318295,0.14972,0.0619783,-0.013127,0.0230206,0.0220505,0.199182,0.130701,0.0869125,-0.0633198,-0.0514308,-0.0778791,-0.0301792,0.150358,0.086602,-0.0477891,-0.0826561,0.0314559,-0.0677029,-0.0902988,0.0173189,0.0339137,0.108839,0.00951947,0.00455185,0.0641237,0.0890603,-0.0908741,-0.136335,0.0213685,0.0707719,0.0867975,0.172423,0.00883509
83.2119,0.972824,0.686436,3,7,0,-82.1347,1.44728,-0.340962,0.396021,0.351939,0.752844,1.37276,1.28716,1.23694,1.35349,1.03603,1.18105,0.987205,0.770758,0.93447,0.608082,0.766676,0.426424,0.483698,0.514318,0.132651,0.101166,0.00752836,0.0296218,-0.219859,-0.0461918,0.0462644,-0.204914,-0.218436,-0.102095,-0.16554,-0.196081,-0.373121,-0.360822,-0.459874,-0.299142,-0.313332,-0.265751,-0.387196,-0.498155,-0.444075,-0.298811,-0.295021,-0.380205,-0.145772,-0.315902,-0.236927,-0.0158524,-0.0184512,0.239215,0.288946,0.370501,0.247172,0.313324,0.468705,0.276873,0.240799,0.360905,0.431302,0.118463,0.126361,-0.00268782,0.188395,0.0555978,-0.071074,-0.251201,-0.294756,-0.00513121,-0.307402,-0.417134,-0.329335,-0.316645,-0.110576,-0.0451223,-0.113015,0.00312098,-0.114973,-0.0599479,0.0590501,-0.0628222,0.140854,0.182206,0.0853298,0.141695,0.120755,0.16059,0.133396,0.119742,0.122653,0.0223289,-0.0994575,0.0291696,-0.068411,-0.0119751,-0.0494481,-0.211186,-0.251261,-0.0719828,0.106744,-0.0695389,0.0296583,-0.0613916,-0.0411876,-0.0507292,-0.0454937,-0.0325877,-0.49993,-0.625907,-0.693844,-0.780274,-0.747836,-0.861691,-0.998034,-0.980434,-0.999337,-0.550803,-0.720107,-0.847043,-0.982455,-0.872266,-0.851093,-0.788194,-0.69721,-0.706627,-0.597957,-0.560112,-0.488974,-0.367965,-0.463442,-0.31292,-0.470883,-0.309324,-0.388581,-0.366458,-0.0941775,0.00774895,0.00921015,0.0181662,0.108955,0.205791,0.211467,0.105267,0.0838825,0.104492,0.354868,0.213888,0.256004,0.133415,0.262748,0.194835,0.130181,0.0307658,0.326727,0.226598,-0.128087,-0.039989,-0.00166011,-0.288464,-0.175939,-0.149519,-0.0523089,-0.189565,-0.189214,-0.129742,-0.0734662,-0.0145832,-0.170564,-0.0152736,0.146552,0.168508,0.201168,-0.0888439,0.0577191,0.1422,0.031132,-0.0251951,0.123909,0.154866,0.152425,-0.0109309,0.294258,0.0198023,0.0187892,0.0717156,-0.0159606,0.00811686,-0.165127,-0.0219113,-0.0544905,-0.0874343,-0.0954484,0.0979985,-0.0899776,0.140787,0.0915941,-0.106083,-0.200502,0.0743652,-0.0424632,0.038168,0.076585,0.00871763,0.041402,0.345729,0.0791916,0.143995
86.1847,1,0.686436,2,7,0,-81.7303,1.18211,0.0144887,0.420626,0.368282,0.705587,1.06983,1.16438,1.10929,1.23212,1.009,0.909708,0.970481,0.797308,0.8116,0.668619,0.680461,0.288685,0.483907,0.544612,0.278786,0.556648,0.162896,0.166686,0.0741245,0.131606,0.0654745,-0.159804,-0.239145,-0.142469,-0.357206,-0.254386,-0.284034,-0.229832,-0.173674,-0.347796,-0.141212,-0.293711,-0.40072,-0.450401,-0.481662,-0.38613,-0.44315,-0.336391,-0.174896,-0.426156,-0.302123,-0.243502,-0.125172,0.0463703,0.145673,0.284925,0.212111,0.311291,0.252625,0.223799,0.319146,0.250733,0.264528,0.418872,0.202994,0.0322372,0.0816386,0.0743656,-0.135767,-0.268526,-0.203542,-0.290036,-0.172743,-0.215834,-0.250036,-0.0388389,-0.0169577,-0.137507,0.0108157,-0.0440993,-0.0907729,-0.195203,0.0735868,-0.0858502,-0.0548667,0.167193,0.0678096,0.133308,0.0830365,0.161959,0.108452,0.0615453,0.0349106,0.162458,0.130878,-0.103866,-0.00535912,0.0796664,-0.0381687,-0.0324555,-0.0641867,-0.201858,-0.0662524,-0.0706661,0.196558,-0.0144259,0.0275696,-0.0255045,0.0230845,-0.0921454,-0.0450982,-0.316064,-0.277806,-0.439959,-0.484938,-0.618345,-0.619846,-0.737032,-0.764845,-0.595457,-0.789424,-0.628574,-0.76871,-0.707483,-0.764391,-0.82853,-0.763875,-0.824112,-0.654752,-0.567645,-0.607895,-0.515964,-0.489716,-0.625864,-0.432039,-0.463718,-0.284685,-0.225222,-0.171478,-0.151942,-0.0191975,0.0410809,0.329133,0.00559986,0.192574,0.075962,0.0869579,0.110301,0.3281,0.0721546,0.135423,0.165676,0.0648963,0.131122,0.233952,4.60979e-05,0.164978,0.0942138,-0.0979582,-0.00660369,0.172735,-0.111253,-0.10057,-0.135769,-0.256632,-0.0352618,0.0479669,-0.0835494,-0.138194,-0.115997,-0.159388,-0.248672,-0.0674867,0.119432,-0.00953093,-0.130941,-0.00902556,0.019502,0.188854,0.167127,0.0728542,0.059319,0.00277543,0.0884799,0.05532,-0.0282194,0.0152006,0.17715,-0.137856,0.0479713,-0.0936262,-0.0878331,-0.122555,0.0875861,-0.0358686,-0.0520355,-0.0703368,-0.0831057,-0.0696707,0.0716092,-0.0409097,0.0365202,0.0620359,0.0943745,0.195076,0.260334,-0.00176375,-0.035937,-0.114742,0.0217103
