Parameter S1 S1_conf ST ST_conf
alpha -1040.987654 0.000000 3047.780521 0.000000
N -80.000000 0.000000 18.000000 0.000000
M 230.123457 0.000000 148.941015 0.000000
k1 -232.098765 0.000000 151.508916 0.000000
k2 -127.407407 0.000000 45.654321 0.000000
tau1 55.802469 0.000000 8.757888 0.000000
tau2 405.185185 0.000000 461.742284 0.000000
tauAch -10673.580247 0.000000 320414.949246 0.000000
tauNor -1308.641975 0.000000 4816.529492 0.000000
beta 318.518519 0.000000 285.339506 0.000000
h0 -1602.962963 0.000000 7226.691358 0.000000
mNor -918.024691 0.000000 2370.288752 0.000000
mAch 345.679012 0.000000 336.076818 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 1099.753086 0.000000
alpha M 1246.200274 0.000000
alpha k1 1027.928669 0.000000
alpha k2 1077.366255 0.000000
alpha tau1 1163.882030 0.000000
alpha tau2 1328.868313 0.000000
alpha tauAch -3902.770919 0.000000
alpha tauNor 519.561043 0.000000
alpha beta 1287.942387 0.000000
alpha h0 380.576132 0.000000
alpha mNor 704.019204 0.000000
alpha mAch 1300.768176 0.000000
N M -50.370370 0.000000
N k1 88.296296 0.000000
N k2 56.888889 0.000000
N tau1 1.925926 0.000000
N tau2 -102.888889 0.000000
N tauAch 3220.740741 0.000000
N tauNor 411.259259 0.000000
N beta -76.888889 0.000000
N h0 499.555556 0.000000
N mNor 294.074074 0.000000
N mAch -85.037037 0.000000
M k1 -188.949246 0.000000
M k2 -344.823045 0.000000
M tau1 -617.602195 0.000000
M tau2 -1137.794239 0.000000
M tauAch 15357.256516 0.000000
M tauNor 1413.903978 0.000000
M beta -1008.757202 0.000000
M h0 1852.115226 0.000000
M mNor 832.318244 0.000000
M mAch -1049.196159 0.000000
k1 k2 322.831276 0.000000
k1 tau1 538.611797 0.000000
k1 tau2 950.106996 0.000000
k1 tauAch -12098.216735 0.000000
k1 tauNor -1068.400549 0.000000
k1 beta 848.032922 0.000000
k1 h0 -1415.045267 0.000000
k1 mNor -608.340192 0.000000
k1 mAch 880.021948 0.000000
k2 tau1 245.241427 0.000000
k2 tau2 403.434156 0.000000
k2 tauAch -4612.784636 0.000000
k2 tauNor -372.548697 0.000000
k2 beta 364.193416 0.000000
k2 h0 -505.810700 0.000000
k2 mNor -195.685871 0.000000
k2 mAch 376.491084 0.000000
tau1 tau2 -790.744856 0.000000
tau1 tauAch 12565.322359 0.000000
tau1 tauNor 1275.368999 0.000000
tau1 beta -686.263374 0.000000
tau1 h0 1630.189300 0.000000
tau1 mNor 804.458162 0.000000
tau1 mAch -719.006859 0.000000
tau2 tauAch 17915.802469 0.000000
tau2 tauNor 1527.160494 0.000000
tau2 beta -1320.370370 0.000000
tau2 h0 2042.222222 0.000000
tau2 mNor 843.580247 0.000000
tau2 mAch -1367.901235 0.000000
tauAch tauNor 10691.983539 0.000000
tauAch beta 10664.864198 0.000000
tauAch h0 10696.888889 0.000000
tauAch mNor 10685.473251 0.000000
tauAch mAch 10664.411523 0.000000
tauNor beta 392.367284 0.000000
tauNor h0 3758.962963 0.000000
tauNor mNor 2558.894033 0.000000
tauNor mAch 344.779835 0.000000
beta h0 -7419.884774 0.000000
beta mNor -3941.920439 0.000000
beta mAch 2474.886145 0.000000
h0 mNor 286.803841 0.000000
h0 mAch 2617.635117 0.000000
mNor mAch 6180.872428 0.000000
