Parameter S1 S1_conf ST ST_conf
alpha -60.475926 0.000000 36.200378 0.000000
N -154.406304 0.000000 235.981583 0.000000
M -214.674714 0.000000 456.152272 0.000000
k1 -71.414954 0.000000 50.480817 0.000000
k2 -58.434122 0.000000 33.797230 0.000000
tau1 25.322441 0.000000 6.346864 0.000000
tau2 -24.835150 0.000000 6.104943 0.000000
tauAch -0.274217 0.000000 0.000744 0.000000
tauNor 25.398638 0.000000 6.385118 0.000000
beta -27.114115 0.000000 7.276774 0.000000
h0 65.263603 0.000000 42.158986 0.000000
mNor -154.287724 0.000000 235.619266 0.000000
mAch 206.299984 0.000000 421.256336 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N -27559.121600 0.000000
alpha M -41653.158189 0.000000
alpha k1 -8151.224192 0.000000
alpha k2 -5115.598874 0.000000
alpha tau1 14471.247043 0.000000
alpha tau2 2741.670540 0.000000
alpha tauAch 8485.354413 0.000000
alpha tauNor 14489.066069 0.000000
alpha beta 2208.724616 0.000000
alpha h0 23811.665967 0.000000
alpha mNor -27531.391080 0.000000
alpha mAch 56793.652721 0.000000
N M 255.919516 0.000000
N k1 174.390083 0.000000
N k2 167.002665 0.000000
N tau1 119.336627 0.000000
N tau2 147.881419 0.000000
N tauAch 133.903739 0.000000
N tauNor 119.293263 0.000000
N beta 149.178382 0.000000
N h0 96.606028 0.000000
N mNor 221.553152 0.000000
N mAch 16.341925 0.000000
M k1 163.692637 0.000000
M k2 182.539220 0.000000
M tau1 304.143526 0.000000
M tau2 231.320825 0.000000
M tauAch 266.980303 0.000000
M tauNor 304.254155 0.000000
M beta 228.012048 0.000000
M h0 362.133218 0.000000
M mNor 43.371491 0.000000
M mAch 566.900828 0.000000
k1 k2 102.384051 0.000000
k1 tau1 -14.806477 0.000000
k1 tau2 55.373034 0.000000
k1 tauAch 21.007861 0.000000
k1 tauNor -14.913091 0.000000
k1 beta 58.561715 0.000000
k1 h0 -70.691362 0.000000
k1 mNor 236.500516 0.000000
k1 mAch -268.026679 0.000000
k2 tau1 67.572219 0.000000
k2 tau2 60.134310 0.000000
k2 tauAch 63.776470 0.000000
k2 tauNor 67.583518 0.000000
k2 beta 59.796361 0.000000
k2 h0 73.495125 0.000000
k2 mNor 40.937686 0.000000
k2 mAch 94.409521 0.000000
tau1 tau2 -47.231859 0.000000
tau1 tauAch -94.166448 0.000000
tau1 tauNor -143.225858 0.000000
tau1 beta -42.876884 0.000000
tau1 h0 -219.405607 0.000000
tau1 mNor 200.144868 0.000000
tau1 mAch -488.918351 0.000000
tau2 tauAch -50.720156 0.000000
tau2 tauNor -104.562152 0.000000
tau2 beta 5.569402 0.000000
tau2 h0 -188.168330 0.000000
tau2 mNor 272.282276 0.000000
tau2 mAch -483.954687 0.000000
tauAch tauNor -5432.280717 0.000000
tauAch beta -808.569815 0.000000
tauAch h0 -8942.362824 0.000000
tauAch mNor 10388.976908 0.000000
tauAch mAch -21360.516857 0.000000
tauNor beta -25.111567 0.000000
tauNor h0 -22.224764 0.000000
tauNor mNor -29.085743 0.000000
tauNor mAch -17.817377 0.000000
beta h0 -118.317878 0.000000
beta mNor 196.063131 0.000000
beta mAch -320.271381 0.000000
h0 mNor 75.434921 0.000000
h0 mAch -354.561688 0.000000
mNor mAch 703.128333 0.000000
