Parameter S1 S1_conf ST ST_conf
alpha -319.461914 0.000000 204.083130 0.000000
N -84.714233 0.000000 14.350985 0.000000
M 142.806641 0.000000 40.781738 0.000000
k1 265.847656 0.000000 141.330078 0.000000
k2 -124.029297 0.000000 30.762207 0.000000
tau1 -99.754639 0.000000 19.899178 0.000000
tau2 285.613281 0.000000 163.126953 0.000000
tauAch 2849.214844 0.000000 16233.767578 0.000000
tauNor 315.261719 0.000000 198.751953 0.000000
beta -278.571777 0.000000 155.182648 0.000000
h0 171.960938 0.000000 59.132812 0.000000
mNor 17.171387 0.000000 0.589630 0.000000
mAch 3.211914 0.000000 0.020630 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 508.623413 0.000000
alpha M 727.151367 0.000000
alpha k1 845.329102 0.000000
alpha k2 470.862305 0.000000
alpha tau1 494.177490 0.000000
alpha tau2 864.313477 0.000000
alpha tauAch 3326.586914 0.000000
alpha tauNor 892.790039 0.000000
alpha beta 322.428223 0.000000
alpha h0 755.153320 0.000000
alpha mNor 606.481934 0.000000
alpha mAch 593.074219 0.000000
N M -513.398071 0.000000
N k1 -686.774048 0.000000
N k2 -137.401978 0.000000
N tau1 -171.607178 0.000000
N tau2 -714.625610 0.000000
N tauAch -4326.973267 0.000000
N tauNor -756.402954 0.000000
N beta 80.362427 0.000000
N h0 -554.479126 0.000000
N mNor -336.366577 0.000000
N mAch -316.696411 0.000000
M k1 -1283.267578 0.000000
M k2 -471.152344 0.000000
M tau1 -521.716553 0.000000
M tau2 -1324.439453 0.000000
M tauAch -6664.431641 0.000000
M tauNor -1386.197266 0.000000
M beta -149.239746 0.000000
M h0 -1087.701172 0.000000
M mNor -765.273926 0.000000
M mAch -736.196289 0.000000
k1 k2 135.861816 0.000000
k1 tau1 197.723816 0.000000
k1 tau2 1179.802734 0.000000
k1 tauAch 7712.933594 0.000000
k1 tauNor 1255.359375 0.000000
k1 beta -257.977173 0.000000
k1 h0 890.168945 0.000000
k1 mNor 495.700317 0.000000
k1 mAch 460.125732 0.000000
k2 tau1 783.346924 0.000000
k2 tau2 2180.115234 0.000000
k2 tauAch 11471.904297 0.000000
k2 tauNor 2287.576172 0.000000
k2 beta 135.223145 0.000000
k2 h0 1768.181641 0.000000
k2 mNor 1207.145996 0.000000
k2 mAch 1156.549805 0.000000
tau1 tau2 -144.643799 0.000000
tau1 tauAch -1249.120361 0.000000
tau1 tauNor -157.417236 0.000000
tau1 beta 98.424072 0.000000
tau1 h0 -95.678955 0.000000
tau1 mNor -28.990967 0.000000
tau1 mAch -22.976807 0.000000
tau2 tauAch -10383.613281 0.000000
tau2 tauNor -2210.863281 0.000000
tau2 beta -295.574219 0.000000
tau2 h0 -1748.675781 0.000000
tau2 mNor -1249.433594 0.000000
tau2 mAch -1204.410156 0.000000
tauAch tauNor -2581.425781 0.000000
tauAch beta -2847.829346 0.000000
tauAch h0 -2645.712891 0.000000
tauAch mNor -2715.154053 0.000000
tauAch mAch -2721.416504 0.000000
tauNor beta -314.480469 0.000000
tauNor h0 -200.511719 0.000000
tauNor mNor -239.667969 0.000000
tauNor mAch -243.199219 0.000000
beta h0 1291.599121 0.000000
beta mNor 945.922852 0.000000
beta mAch 914.748535 0.000000
h0 mNor 112.106201 0.000000
h0 mAch 98.836426 0.000000
mNor mAch 188.600830 0.000000
