Parameter S1 S1_conf ST ST_conf
alpha -489.171156 0.000000 1881.260088 0.000000
N 82.239301 0.000000 53.172365 0.000000
M 207.704253 0.000000 339.170395 0.000000
k1 2109.738178 0.000000 34993.250277 0.000000
k2 0.598894 0.000000 0.002820 0.000000
tau1 -358.283255 0.000000 1009.206829 0.000000
tau2 -64.585920 0.000000 32.794640 0.000000
tauAch 506.111294 0.000000 2013.813356 0.000000
tauNor 78.145764 0.000000 48.010700 0.000000
beta -167.890980 0.000000 221.606191 0.000000
h0 130.848414 0.000000 134.605897 0.000000
mNor -29.161519 0.000000 6.685709 0.000000
mAch 96.212118 0.000000 72.775753 0.000000

Parameter_1 Parameter_2 S2 S2_conf
alpha N 445.118127 0.000000
alpha M 402.565079 0.000000
alpha k1 -242.534128 0.000000
alpha k2 472.807518 0.000000
alpha tau1 594.527003 0.000000
alpha tau2 494.915784 0.000000
alpha tauAch 301.356502 0.000000
alpha tauNor 446.506503 0.000000
alpha beta 529.953021 0.000000
alpha h0 428.631723 0.000000
alpha mNor 482.901144 0.000000
alpha mAch 440.379067 0.000000
N M 662.995756 0.000000
N k1 6213.998164 0.000000
N k2 58.567869 0.000000
N tau1 -988.813907 0.000000
N tau2 -131.671146 0.000000
N tauAch 1533.883590 0.000000
N tauNor 284.885000 0.000000
N beta -433.162423 0.000000
N h0 438.695370 0.000000
N mNor -28.286588 0.000000
N mAch 337.610861 0.000000
M k1 -178.123490 0.000000
M k2 -207.042717 0.000000
M tau1 -211.963490 0.000000
M tau2 -207.936492 0.000000
M tauAch -200.111441 0.000000
M tauNor -205.979442 0.000000
M beta -209.352947 0.000000
M h0 -205.256816 0.000000
M mNor -207.450774 0.000000
M mAch -205.731727 0.000000
k1 k2 -2276.851987 0.000000
k1 tau1 -1033.790587 0.000000
k1 tau2 -2051.071109 0.000000
k1 tauAch -4027.797121 0.000000
k1 tauNor -2545.451361 0.000000
k1 beta -1693.252999 0.000000
k1 h0 -2727.997723 0.000000
k1 mNor -2173.770736 0.000000
k1 mAch -2608.027857 0.000000
k2 tau1 3091.494757 0.000000
k2 tau2 168.000461 0.000000
k2 tauAch -5512.779910 0.000000
k2 tauNor -1252.765801 0.000000
k2 beta 1196.309942 0.000000
k2 h0 -1777.373555 0.000000
k2 mNor -184.617772 0.000000
k2 mAch -1432.600199 0.000000
tau1 tau2 414.475444 0.000000
tau1 tauAch -1478.862099 0.000000
tau1 tauNor -59.049306 0.000000
tau1 beta 757.198947 0.000000
tau1 h0 -233.894924 0.000000
tau1 mNor 296.951918 0.000000
tau1 mAch -118.986004 0.000000
tau2 tauAch 821.231135 0.000000
tau2 tauNor 236.468174 0.000000
tau2 beta -99.711177 0.000000
tau2 h0 308.479951 0.000000
tau2 mNor 89.845795 0.000000
tau2 mAch 261.153655 0.000000
tauAch tauNor -726.516049 0.000000
tauAch beta -295.432991 0.000000
tauAch h0 -818.856809 0.000000
tauAch mNor -538.502053 0.000000
tauAch mAch -758.170261 0.000000
tauNor beta -426.356316 0.000000
tauNor h0 438.762180 0.000000
tauNor mNor -24.610095 0.000000
tauNor mAch 338.459036 0.000000
beta h0 564.809859 0.000000
beta mNor 208.999495 0.000000
beta mAch 487.789932 0.000000
h0 mNor -197.964805 0.000000
h0 mAch -653.135912 0.000000
mNor mAch -127.468160 0.000000
