Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             147.534      0.890          41.103    259.282
N                                 201.436    -22.461          56.188    352.764
M                                 208.895     50.601          55.116    347.391
k1                                184.270    -54.500          61.245    358.523
k2                                177.410     30.541          60.247    354.450
tau1                              232.611    -66.960          65.059    391.128
tau2                              185.466     -9.002          51.826    324.389
tauAch                            179.296      1.196          53.402    315.930
tauNor                            161.138     12.416          53.103    310.095
beta                              208.167    -27.366          49.898    332.032
h0                                195.468     -3.428          52.487    336.864
mNor                              246.695     56.242          65.195    408.467
mAch                              155.794     15.580          48.450    293.561
