Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.289     -6.220          66.772    421.442
N                                 325.826    -41.022          90.165    572.096
M                                 334.937     76.202          91.196    562.266
k1                                296.489    -87.525          99.327    585.625
k2                                283.467     48.688          96.073    569.642
tau1                              379.436   -104.732         101.482    640.469
tau2                              301.298    -11.228          79.400    526.997
tauAch                            284.989      6.297          87.687    518.177
tauNor                            264.235     12.999          83.181    506.288
beta                              342.278    -52.949          82.786    539.032
h0                                321.232    -15.806          89.590    550.792
mNor                              405.566     96.479         103.277    670.711
mAch                              258.287     29.957          75.981    483.677
