Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             238.273     -3.195          67.449    428.275
N                                 331.991    -38.839          98.180    583.152
M                                 341.094     80.294          91.673    574.085
k1                                300.649    -89.463         100.560    594.769
k2                                290.475     50.136          94.753    583.483
tau1                              383.384   -108.814         104.802    650.551
tau2                              304.868    -13.011          86.048    536.353
tauAch                            291.914      4.477          89.540    526.661
tauNor                            266.511     16.433          88.135    514.522
beta                              345.973    -49.114          84.021    549.257
h0                                321.510    -12.309          89.003    559.161
mNor                              412.118     96.210         108.259    681.121
mAch                              258.935     28.072          80.541    490.512
