Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             239.255     -2.846          69.252    429.217
N                                 332.935    -38.352          93.252    584.471
M                                 342.478     80.977          87.838    575.800
k1                                301.714    -89.671         102.693    596.255
k2                                291.701     50.582         101.489    585.378
tau1                              384.446   -109.422         103.148    651.901
tau2                              305.945    -13.473          85.305    537.953
tauAch                            293.208      4.383          87.146    528.070
tauNor                            267.191     17.030          89.851    515.530
beta                              346.760    -48.798          85.506    550.611
h0                                322.468    -12.178          90.622    560.686
mNor                              412.908     96.128         108.607    682.354
mAch                              259.171     27.987          81.544    491.270
