Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             238.890     -4.480          67.420    420.870
N                                 327.156    -45.342          94.851    574.976
M                                 336.846     76.791          88.475    561.292
k1                                298.743    -87.873          96.949    582.377
k2                                293.129     46.674          94.476    578.806
tau1                              381.739   -108.959         106.656    638.876
tau2                              300.116    -11.492          84.211    524.863
tauAch                            283.886      0.012          82.891    511.230
tauNor                            263.983     13.216          84.885    508.190
beta                              343.497    -46.021          83.371    542.700
h0                                319.143     -6.004          85.107    544.447
mNor                              406.941     97.869         107.433    669.969
mAch                              259.422     26.143          81.077    484.278
