Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             242.654     -1.981          67.325    431.827
N                                 336.274    -38.397          93.098    588.869
M                                 345.908     82.302          91.588    579.558
k1                                304.727    -90.287         100.136    599.081
k2                                295.398     50.203         100.470    590.569
tau1                              387.999   -110.264         104.912    655.114
tau2                              307.987    -13.374          84.305    540.558
tauAch                            297.352      2.946          84.421    530.550
tauNor                            268.886     17.913          86.458    517.779
beta                              349.010    -47.204          84.034    554.369
h0                                325.183     -9.188          90.464    562.702
mNor                              414.995     95.928         109.255    685.614
mAch                              261.394     27.473          81.147    493.751
