Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.001     -5.042          69.239    423.863
N                                 327.247    -40.050          93.623    575.389
M                                 336.455     78.106          91.514    566.671
k1                                296.944    -88.170          99.558    589.225
k2                                285.188     49.750          97.607    574.316
tau1                              379.956   -106.288         101.577    643.982
tau2                              301.830    -12.147          89.126    530.142
tauAch                            287.032      5.951          87.644    521.812
tauNor                            264.193     14.681          81.286    508.843
beta                              342.902    -51.946          81.158    542.402
h0                                320.421    -15.373          89.717    554.354
mNor                              407.558     96.341         106.042    674.382
mAch                              257.643     29.266          79.624    486.025
