Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.735     -2.326          71.351    430.569
N                                 334.277    -37.633          93.321    586.292
M                                 344.434     81.810          90.052    578.112
k1                                303.179    -90.066         102.160    598.259
k2                                293.130     51.347          96.104    587.742
tau1                              385.909   -110.324         109.721    653.819
tau2                              307.541    -14.264          83.705    540.226
tauAch                            294.980      4.440          85.730    529.926
tauNor                            268.331     17.861          87.645    516.922
beta                              347.646    -48.357          87.183    552.379
h0                                323.780    -12.170          91.163    562.794
mNor                              413.936     95.955         109.121    684.052
mAch                              259.634     27.695          83.463    492.217
