Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              92.917     -0.598          27.113    164.806
N                                 128.632    -13.563          35.876    224.239
M                                 132.668     31.498          35.402    221.070
k1                                116.377    -34.313          38.179    228.125
k2                                112.836     19.606          38.438    224.883
tau1                              148.390    -42.554          39.804    249.679
tau2                              117.862     -5.685          32.106    205.816
tauAch                            113.851      1.423          33.732    202.893
tauNor                            103.023      7.289          31.587    197.243
beta                              132.566    -17.267          32.601    210.644
h0                                124.178     -4.162          33.017    214.278
mNor                              158.585     36.272          40.171    261.379
mAch                               99.604     10.001          30.308    188.349
