Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             230.330     -0.502          65.445    401.639
N                                 313.828    -39.980          87.494    549.706
M                                 320.630     79.435          84.729    530.246
k1                                290.043    -89.030          89.728    554.707
k2                                276.065     37.540          93.889    549.331
tau1                              365.250   -107.069          96.439    607.453
tau2                              285.129     -8.169          79.520    498.791
tauAch                            288.068    -12.794          79.088    497.032
tauNor                            254.025     14.388          78.431    492.480
beta                              337.703    -43.569          72.700    520.452
h0                                292.165     13.447          80.589    506.894
mNor                              380.094     86.359         102.106    631.851
mAch                              246.313     26.515          77.010    460.288
