Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.085     -1.882          65.521    425.729
N                                 330.220    -41.546          93.640    578.121
M                                 361.542    104.002         103.084    626.050
k1                                321.184   -111.668         112.164    663.238
k2                                306.265     31.874          99.296    601.152
tau1                              383.582   -116.132         106.252    639.583
tau2                              300.730    -11.043          86.811    527.814
tauAch                            329.793    -14.468          95.777    588.058
tauNor                            287.770     42.157          98.878    578.282
beta                              341.936    -45.333          81.350    543.933
h0                                316.260     -6.462          90.977    549.231
mNor                              406.749     97.176         106.451    669.630
mAch                              252.848     24.695          79.938    479.863
