Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              36.112     -8.453          14.850     82.069
N                                  35.126     -1.436           9.343     58.042
M                                  38.231     -7.054          10.816     68.092
k1                             43473923122858136.000 43473923122858040.000 82310855385542768.000 434739231228580672.000
k2                                 36.623      0.352          10.409     65.122
tau1                               40.136     12.889           9.658     63.521
tau2                               53.377     18.360          45.466    230.808
tauAch                             77.554     30.994          72.778    376.813
tauNor                             31.009     -0.296           9.027     55.983
beta                               35.186     -4.976           9.427     59.827
h0                                 50.910    -21.180          39.819    202.850
mNor                           43473923122858112.000 43473923122858064.000 88470196319620880.000 434739231228580672.000
mAch                               30.026      1.256           8.898     54.387
