Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             235.350     -3.749          66.955    424.854
N                                 328.010    -39.969          93.369    577.432
M                                 337.032     79.101          90.683    568.153
k1                                297.519    -88.669         101.807    590.246
k2                                285.709     49.836          95.506    576.458
tau1                              379.149   -107.177         103.161    645.222
tau2                              301.414    -12.592          85.810    531.246
tauAch                            287.114      5.299          85.381    521.182
tauNor                            263.557     15.656          80.661    510.023
beta                              342.741    -50.982          81.662    544.001
h0                                318.492    -13.521          88.627    554.922
mNor                              408.084     95.902         107.385    675.276
mAch                              257.114     28.663          82.887    486.547
