Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             235.909     -2.683          67.928    424.552
N                                 327.121    -39.254          92.439    576.538
M                                 337.627     80.663          90.767    568.329
k1                                297.480    -88.931         100.673    590.270
k2                                285.309     50.762          96.013    576.171
tau1                              378.102   -107.780         103.074    643.920
tau2                              301.424    -13.939          83.066    531.427
tauAch                            287.849      5.254          79.843    520.557
tauNor                            262.468     17.322          83.259    508.561
beta                              341.609    -50.742          83.683    543.247
h0                                317.988    -13.069          90.628    554.948
mNor                              406.311     94.945         108.593    673.241
mAch                              255.594     28.317          80.092    484.739
