Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             244.037      0.085          70.015    430.374
N                                 335.105    -38.743          99.493    584.812
M                                 347.496     85.028          94.900    575.230
k1                                335.856    -59.260         115.712    673.313
k2                                303.359     40.999         102.008    593.282
tau1                              381.093   -119.356          98.797    645.009
tau2                              317.755    -33.534          89.464    557.143
tauAch                            328.003    -39.359         102.029    622.531
tauNor                            270.150     20.673          82.267    520.654
beta                              350.118    -44.769          83.129    553.111
h0                                335.197     15.724          95.154    582.770
mNor                              423.368    105.016         108.870    692.764
mAch                              266.489     21.816          81.602    494.668
