Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             178.251     -2.605          50.915    323.318
N                                 247.743    -31.029          71.887    438.129
M                                 255.525     61.106          66.484    431.888
k1                                225.329    -67.648          76.792    449.719
k2                                215.224     38.685          75.031    436.998
tau1                              286.433    -81.376          78.017    490.112
tau2                              228.431    -10.375          64.003    404.064
tauAch                            217.234      4.638          65.141    395.924
tauNor                            198.744     12.641          65.464    386.826
beta                              259.656    -40.354          63.294    413.085
h0                                241.199    -11.042          68.003    422.839
mNor                              308.641     72.725          80.966    512.316
mAch                              194.469     22.261          59.849    369.156
