Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                               0.000      0.000           0.000      0.000
N                                   0.000      0.000           0.000      0.000
M                                   0.000      0.000           0.000      0.000
k1                                  0.000      0.000           0.000      0.000
k2                                  0.000      0.000           0.000      0.000
tau1                                0.000      0.000           0.000      0.000
tau2                                0.000      0.000           0.000      0.000
tauAch                              0.000      0.000           0.000      0.000
tauNor                              0.000      0.000           0.000      0.000
beta                           198179056983674512736256.000 198179056983674512736256.000 416818851108155037843456.000 1981790569836745932668928.000
h0                                  0.000      0.000           0.000      0.000
mNor                           198179056983674512736256.000 198179056983674512736256.000 396307468990099159515136.000 1981790569836745932668928.000
mAch                                0.000      0.000           0.000      0.000
