Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             154.036     -2.888          44.866    277.249
N                                 213.526    -27.866          60.237    376.396
M                                 219.559     50.839          61.923    369.329
k1                                194.791    -58.024          65.410    384.919
k2                                184.914     31.930          63.360    374.056
tau1                              247.253    -69.020          66.265    420.598
tau2                              196.462     -7.628          55.264    345.940
tauAch                            185.693      3.753          54.800    338.115
tauNor                            172.155      9.303          54.920    332.691
beta                              224.007    -35.000          53.717    354.467
h0                                208.304     -8.842          56.408    361.495
mNor                              265.587     62.962          69.555    440.089
mAch                              168.930     19.270          53.341    317.343
