Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             154.597     -2.914          45.499    275.859
N                                 213.040    -28.884          59.605    372.907
M                                 218.168     49.248          58.151    367.425
k1                                194.920    -55.253          66.579    382.964
k2                                186.393     31.238          63.532    374.315
tau1                              246.792    -70.106          64.327    417.434
tau2                              196.548     -4.391          54.040    343.252
tauAch                            186.869      3.185          55.151    337.189
tauNor                            174.703      9.243          57.209    333.277
beta                              224.351    -35.581          53.831    354.588
h0                                209.334     -8.234          56.456    361.119
mNor                              266.613     63.865          68.822    438.846
mAch                              170.029     18.048          51.545    315.973
