Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             245.366     -2.420          69.505    432.847
N                                 338.078    -39.548          92.670    591.337
M                                 347.286     83.113          91.933    580.654
k1                                306.094    -90.410          98.848    599.725
k2                                297.017     49.355          99.938    592.565
tau1                              390.046   -109.609         108.721    656.371
tau2                              307.955    -12.476          86.961    540.245
tauAch                            299.820      1.495          88.009    530.741
tauNor                            268.005     17.669          85.252    516.905
beta                              350.028    -46.425          86.092    555.728
h0                                326.838     -5.808          88.030    562.747
mNor                              414.930     95.289         106.247    686.204
mAch                              263.802     27.964          82.434    494.884
