Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             212.810     -1.749          60.701    380.774
N                                 294.087    -36.568          85.273    518.134
M                                 302.979     72.626          84.960    509.458
k1                                267.813    -79.956          89.416    528.872
k2                                256.903     44.185          87.376    517.956
tau1                              339.609    -96.190          91.308    576.913
tau2                              270.043    -11.313          77.259    475.983
tauAch                            259.217      3.143          75.425    465.018
tauNor                            234.915     15.552          76.964    455.923
beta                              306.822    -45.072          74.374    487.983
h0                                285.591     -8.197          77.839    496.365
mNor                              363.670     84.871          95.259    603.178
mAch                              230.286     25.316          72.490    434.470
