Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             233.986     -3.300          70.678    422.615
N                                 325.327    -39.874          90.273    573.961
M                                 334.966     79.596          89.413    565.318
k1                                295.685    -88.527          99.547    587.695
k2                                283.289     50.086          96.671    572.992
tau1                              375.868   -106.730         103.514    641.207
tau2                              299.685    -13.197          83.557    529.015
tauAch                            285.536      5.389          82.592    518.093
tauNor                            260.989     16.398          83.484    506.603
beta                              340.253    -51.445          82.305    540.794
h0                                315.982    -13.317          92.022    552.407
mNor                              404.539     94.980         109.172    670.622
mAch                              254.770     28.655          77.017    482.959
