Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             218.929     -1.148          62.383    390.180
N                                 301.594    -36.563          84.404    530.754
M                                 311.545     75.090          81.123    522.434
k1                                274.877    -81.947          92.033    541.766
k2                                263.902     45.782          89.516    531.275
tau1                              348.371    -99.146          91.645    590.773
tau2                              277.176    -12.326          78.845    487.896
tauAch                            266.595      3.104          76.299    476.661
tauNor                            240.991     16.811          78.231    466.812
beta                              314.096    -45.272          72.938    499.944
h0                                293.136     -8.159          80.826    508.685
mNor                              372.391     86.464          97.604    617.445
mAch                              235.444     25.440          74.285    444.527
