Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             270.212     23.832          71.060    458.860
N                                 339.437    -38.139          95.923    592.961
M                                 350.080     83.924          90.763    582.807
k1                                313.099    -89.800          99.034    604.057
k2                                303.257     48.727         102.636    598.641
tau1                              403.315   -101.583         110.692    683.137
tau2                              312.769    -10.927          84.129    544.176
tauAch                            315.471      4.811          85.307    545.509
tauNor                            274.815     34.166          87.302    527.032
beta                              352.625    -44.902          85.292    559.511
h0                                332.212      4.597          89.456    566.065
mNor                              419.974     98.106         107.072    690.925
mAch                              276.099     15.308          82.352    511.168
