Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                          72436196676579014385598464.000 72436196676579014385598464.000 145271907271841687529324544.000 724361966765789387941740544.000
N                                   0.000      0.000           0.000      0.000
M                                   0.000      0.000           0.000      0.000
k1                                  0.000      0.000           0.000      0.000
k2                                  0.000      0.000           0.000      0.000
tau1                                0.000      0.000           0.000      0.000
tau2                                0.000      0.000           0.000      0.000
tauAch                              0.000      0.000           0.000      0.000
tauNor                         72436196676579014385598464.000 -72436196676579014385598464.000 138097723171524845194182656.000 724361966765789387941740544.000
beta                                0.000      0.000           0.000      0.000
h0                                  0.000      0.000           0.000      0.000
mNor                                0.000      0.000           0.000      0.000
mAch                                0.000      0.000           0.000      0.000
