Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             196.518     -1.669          56.356    352.552
N                                 271.566    -32.731          77.152    478.825
M                                 280.754     67.347          75.988    471.880
k1                                247.458    -73.996          87.829    490.018
k2                                236.941     42.229          79.520    478.448
tau1                              313.943    -89.662          89.668    534.343
tau2                              250.458    -11.842          67.780    441.316
tauAch                            239.178      4.193          69.039    431.270
tauNor                            217.849     14.781          71.533    422.214
beta                              283.492    -42.007          67.101    451.178
h0                                264.272    -10.157          75.313    460.690
mNor                              336.835     78.565          87.244    558.379
mAch                              212.168     23.328          66.057    401.908
