Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              67.500      0.121          17.770    111.916
N                                  82.618    -11.661          25.289    149.132
M                                  84.706     22.071          22.774    139.930
k1                                 75.006    -20.822          23.432    140.695
k2                                 75.974      9.399          22.877    144.827
tau1                               96.090    -24.058          25.129    161.088
tau2                               70.505     -1.546          20.974    124.647
tauAch                             78.262     -3.828          20.381    129.989
tauNor                             72.193      4.883          22.749    138.358
beta                               81.055     -5.904          20.145    132.002
h0                                 81.089      9.528          22.325    138.278
mNor                               97.824     19.471          25.332    160.829
mAch                               66.043      5.150          19.773    120.614
