Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             247.431     -1.235          70.056    431.206
N                                 336.961    -42.274          92.827    589.539
M                                 345.440     83.255          92.877    576.320
k1                                304.839    -90.183          99.790    595.187
k2                                294.955     46.882         103.453    588.574
tau1                              389.114   -106.389         104.031    652.722
tau2                              303.216     -8.520          87.786    533.277
tauAch                            299.366      2.338          83.540    526.173
tauNor                            268.874      4.721          86.774    518.164
beta                              349.376    -45.296          81.756    552.290
h0                                327.957      1.817          91.385    560.088
mNor                              409.283     90.857         104.693    681.097
mAch                              268.512     32.234          79.915    494.809
