Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                          26873897170891.250 26873897170865.398 51615188888954.961 268738971708569.781
N                                  33.716     -1.856           8.716     56.846
M                                  36.087     -2.487           9.300     61.561
k1                                 26.744      5.053           8.372     51.348
k2                                 33.917     -2.018          10.221     62.814
tau1                               38.944     10.286           9.958     61.867
tau2                           26873897170883.609 26873897170854.090 51010549236585.984 268738971708563.188
tauAch                             42.122     -6.921          18.946    108.295
tauNor                             31.388      1.110           9.065     56.119
beta                               38.655     -9.955          11.784     74.892
h0                                 32.233      0.152           8.378     53.800
mNor                               49.943      0.265          19.744    114.677
mAch                               30.902     -3.422          10.811     64.322
