Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.244     -6.388          69.137    420.874
N                                 326.348    -41.339          94.432    572.577
M                                 334.830     75.300          91.975    561.573
k1                                296.978    -87.554         100.618    584.544
k2                                283.514     47.854          98.841    569.358
tau1                              379.408   -104.431         103.519    640.043
tau2                              301.159    -10.699          83.316    526.804
tauAch                            284.102      5.846          86.641    516.617
tauNor                            264.701     12.248          85.299    506.676
beta                              342.474    -52.487          85.211    539.035
h0                                320.685    -14.751          91.128    549.539
mNor                              405.771     96.524         108.274    670.472
mAch                              258.706     29.848          80.015    483.438
