Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.679     -3.629          67.794    427.116
N                                 330.208    -38.802          95.728    580.809
M                                 339.550     80.086          91.571    572.464
k1                                299.129    -89.105          99.588    593.864
k2                                288.521     50.699          98.121    581.057
tau1                              381.686   -108.396         105.302    649.012
tau2                              303.815    -13.309          85.812    535.177
tauAch                            290.041      5.256          84.020    525.831
tauNor                            265.229     16.402          89.115    512.864
beta                              344.799    -50.201          85.672    547.419
h0                                320.375    -13.908          92.231    558.746
mNor                              410.699     96.153         103.251    679.273
mAch                              257.792     28.493          81.334    489.148
