Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             244.903      0.220          69.027    432.417
N                                 336.098    -37.860          95.410    588.603
M                                 347.705     83.934          93.016    579.658
k1                                306.221    -90.968         107.272    598.943
k2                                295.386     50.740         102.018    590.800
tau1                              387.710   -111.067         104.879    653.624
tau2                              308.988    -14.505          88.503    541.099
tauAch                            298.896      2.561          84.948    528.679
tauNor                            268.590     19.797          85.374    517.134
beta                              347.932    -46.769          82.670    553.743
h0                                325.695     -7.134          87.232    562.339
mNor                              412.519     94.426         106.452    682.959
mAch                              260.650     26.885          83.744    491.282
