Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             228.974     -3.452          64.179    407.528
N                                 316.164    -41.756          92.265    556.697
M                                 323.591     74.780          88.960    543.443
k1                                288.050    -85.736          96.146    564.825
k2                                274.675     44.786          90.671    553.339
tau1                              365.540   -101.307          99.977    618.338
tau2                              288.988     -9.640          81.351    508.941
tauAch                            275.737      3.251          77.844    495.268
tauNor                            253.059     13.212          81.280    489.814
beta                              329.662    -48.783          76.822    522.935
h0                                307.440     -7.045          82.990    529.005
mNor                              390.317     91.917         102.608    647.195
mAch                              250.275     27.463          75.938    466.750
