Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             196.160     -5.071          55.980    351.275
N                                 270.485    -35.662          78.187    477.362
M                                 278.006     63.634          74.222    467.397
k1                                247.030    -73.558          81.169    488.135
k2                                233.857     40.341          81.575    472.920
tau1                              314.015    -86.986          88.433    533.255
tau2                              250.009     -9.899          67.947    439.447
tauAch                            234.702      5.431          69.407    428.696
tauNor                            218.543     10.674          71.053    421.539
beta                              284.361    -45.147          66.686    448.858
h0                                265.737    -12.053          72.384    458.335
mNor                              336.362     80.318          84.709    557.626
mAch                              214.837     25.325          66.226    402.047
