Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             235.893     -4.751          68.152    424.528
N                                 327.740    -39.803          96.165    576.495
M                                 336.886     78.534          91.193    567.838
k1                                297.180    -88.355         101.790    590.191
k2                                285.697     49.976          91.595    575.671
tau1                              380.140   -106.740         107.435    645.048
tau2                              302.002    -12.410          83.941    531.162
tauAch                            287.422      5.847          82.365    522.601
tauNor                            264.188     15.040          89.681    509.659
beta                              343.148    -51.607          83.577    543.411
h0                                320.145    -15.105          88.526    555.269
mNor                              408.171     96.312         107.379    675.382
mAch                              257.513     29.118          81.044    486.673
