Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             229.987     -2.566          68.077    404.994
N                                 314.127    -39.535          88.571    552.110
M                                 323.851     78.733          84.409    541.878
k1                                285.783    -84.840          93.499    561.453
k2                                274.528     46.480          90.512    551.595
tau1                              362.969   -101.391          98.597    613.090
tau2                              286.470    -11.634          77.509    504.296
tauAch                            278.215      1.713          82.306    493.529
tauNor                            247.620     16.607          80.350    481.594
beta                              326.124    -46.349          76.654    518.659
h0                                305.316     -4.713          85.034    526.676
mNor                              385.253     88.849         100.061    639.758
mAch                              246.770     27.332          78.313    461.513
