Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             144.746     -2.828          42.318    260.900
N                                 199.819    -25.849          56.001    352.917
M                                 206.150     48.603          53.737    347.616
k1                                182.225    -54.418          60.898    362.758
k2                                173.300     30.910          60.536    351.337
tau1                              231.879    -64.986          62.523    395.356
tau2                              184.815     -7.816          51.533    325.395
tauAch                            175.130      4.136          51.075    319.348
tauNor                            161.192      9.371          52.011    311.974
beta                              210.121    -33.657          52.903    332.814
h0                                196.214     -9.730          54.553    341.020
mNor                              249.070     59.154          64.588    413.436
mAch                              158.140     18.494          50.812    298.199
