Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             110.604      2.011          31.171    191.119
N                                 148.641    -17.127          42.011    259.721
M                                 153.679     37.736          38.665    253.730
k1                                136.226    -39.585          44.769    260.286
k2                                132.243     20.500          44.444    261.663
tau1                              171.497    -48.559          45.410    284.867
tau2                              134.242     -5.310          36.159    234.792
tauAch                            134.459     -1.946          38.025    230.648
tauNor                            117.198      9.858          38.350    226.812
beta                              151.618    -16.950          37.512    243.086
h0                                143.647      3.584          39.347    244.745
mNor                              178.836     39.788          45.822    296.870
mAch                              114.915     10.111          35.086    214.140
