Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             238.476     -3.068          70.380    428.756
N                                 332.068    -38.344          92.950    583.424
M                                 341.727     80.786          90.147    574.981
k1                                300.925    -89.565         102.826    595.774
k2                                290.627     50.859         102.086    584.058
tau1                              383.542   -109.241         106.007    651.301
tau2                              305.373    -13.662          82.636    537.326
tauAch                            292.222      4.870          82.964    527.666
tauNor                            266.615     16.931          87.444    514.812
beta                              346.103    -49.262          80.355    549.666
h0                                321.857    -13.056          92.644    560.410
mNor                              412.341     96.128         106.397    681.612
mAch                              258.652     28.101          80.049    490.727
