Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              49.521      1.082          13.827     86.484
N                                  66.683     -6.994          17.945    116.651
M                                  69.671     16.889          18.266    114.509
k1                                 61.590    -17.925          20.250    117.777
k2                                 58.905     10.177          20.130    117.270
tau1                               77.458    -22.527          20.829    129.035
tau2                               60.999     -3.351          16.957    106.238
tauAch                             59.678      0.180          16.550    103.867
tauNor                             53.448      4.629          17.205    102.499
beta                               67.946     -7.705          16.986    109.519
h0                                 64.977     -0.455          17.018    110.788
mNor                               81.436     18.183          20.060    134.432
mAch                               51.489      4.273          15.842     96.804
