Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              75.915     -4.525          20.564    129.582
N                                  98.409    -15.337          27.999    173.256
M                                 102.866     19.904          27.442    168.769
k1                                 91.451    -26.322          29.399    177.790
k2                                 85.162     12.879          28.249    169.549
tau1                              117.450    -29.178          31.479    193.658
tau2                               93.964     -1.573          25.543    160.489
tauAch                             85.925      2.581          25.493    156.976
tauNor                             82.551      0.629          25.863    154.288
beta                              105.623    -19.382          24.053    163.426
h0                                102.324     -5.805          25.293    166.721
mNor                              122.075     30.441          32.534    203.035
mAch                               81.972     10.957          24.029    147.560
