Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              90.292     -0.650          24.840    158.217
N                                 128.039     -6.777          34.146    217.583
M                                 129.143     27.030          32.557    213.863
k1                                113.249    -30.939          34.696    212.858
k2                                117.260     15.900          35.638    223.002
tau1                              146.625    -41.740          36.126    238.217
tau2                              114.443     -3.488          31.742    196.304
tauAch                            115.242     -2.005          30.999    198.297
tauNor                            104.308      5.283          30.036    191.555
beta                              128.912     -5.497          32.354    205.223
h0                                121.435     -0.309          30.709    201.251
mNor                              155.627     33.927          39.381    252.571
mAch                               98.943      6.079          29.719    183.841
