Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             189.315     -2.230          54.595    341.534
N                                 262.622    -32.492          73.896    463.756
M                                 270.800     64.522          71.372    456.454
k1                                239.042    -71.623          83.385    474.633
k2                                228.537     40.544          79.013    462.569
tau1                              303.526    -86.330          80.653    517.882
tau2                              241.940    -10.932          67.265    427.050
tauAch                            230.353      4.352          65.535    417.436
tauNor                            210.613     13.491          68.442    409.228
beta                              274.529    -41.515          68.042    436.864
h0                                255.432    -10.361          71.049    446.117
mNor                              326.520     76.595          83.970    541.353
mAch                              205.762     22.987          63.114    389.854
