Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             232.387     -3.653          71.824    421.225
N                                 323.183    -40.446          90.679    570.864
M                                 332.997     79.179          91.476    562.404
k1                                293.757    -88.004         104.519    585.576
k2                                280.676     50.121          90.134    569.210
tau1                              373.669   -105.912         106.967    638.678
tau2                              297.644    -13.160          84.215    526.027
tauAch                            283.058      6.036          84.685    515.895
tauNor                            259.430     16.073          83.234    504.151
beta                              338.560    -52.396          81.621    538.028
h0                                314.486    -14.455          87.071    550.468
mNor                              402.628     94.927         104.470    667.846
mAch                              253.854     28.974          76.861    481.357
