Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             243.257     -1.087          68.598    431.086
N                                 334.997    -38.588          94.744    587.044
M                                 345.800     83.198          88.866    577.866
k1                                304.510    -90.344         103.291    597.784
k2                                293.841     50.568         101.953    588.477
tau1                              386.659   -110.253         104.329    652.714
tau2                              307.297    -14.109          86.921    539.037
tauAch                            296.727      2.848          84.283    527.848
tauNor                            267.510     19.050          85.993    515.618
beta                              347.277    -47.480          85.401    552.360
h0                                324.706     -8.244          90.377    561.268
mNor                              412.454     95.044         108.279    682.354
mAch                              260.331     27.272          79.428    491.245
