Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             246.904     -4.757          69.428    431.458
N                                 336.758    -41.334          89.105    589.434
M                                 345.864     83.841          92.469    577.682
k1                                304.390    -89.955         100.706    596.837
k2                                294.546     48.715          97.699    588.502
tau1                              389.095   -107.065         106.432    653.645
tau2                              305.208    -11.833          85.746    535.975
tauAch                            298.708      1.084          82.705    527.365
tauNor                            262.953     15.613          88.210    511.491
beta                              348.051    -47.123          85.093    552.277
h0                                325.816     -3.872          87.869    559.654
mNor                              411.253     94.009         110.671    681.905
mAch                              264.788     29.566          81.165    493.002
