Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              53.749     -6.991          12.365     83.547
N                                  62.591      2.746          15.661    102.992
M                                  69.292      0.917          17.469    113.813
k1                                 50.360    -10.016          15.105     91.444
k2                                 58.001      2.328          18.164    110.203
tau1                               73.576    -15.206          17.006    112.760
tau2                               56.139      3.182          14.571     97.462
tauAch                             62.710     -2.473          16.428    105.268
tauNor                             61.405     -5.580          16.250    104.381
beta                               61.882      5.130          15.340    102.721
h0                                 64.879     -1.452          14.666    101.159
mNor                               75.484     16.027          20.484    126.076
mAch                               51.611      1.920          15.115     92.820
