Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             231.223     -3.408          66.797    408.554
N                                 316.676    -41.071          85.245    557.033
M                                 325.380     78.509          83.922    545.989
k1                                287.618    -85.635          99.673    566.717
k2                                275.782     46.214          96.149    555.392
tau1                              365.770   -101.455         103.003    618.874
tau2                              288.379    -10.855          78.782    508.398
tauAch                            279.734      2.063          77.789    497.998
tauNor                            249.936     15.545          83.137    486.044
beta                              329.424    -48.256          77.236    523.076
h0                                307.402     -5.355          84.156    531.045
mNor                              388.759     90.156         102.355    646.167
mAch                              249.894     28.483          76.741    466.690
