Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                          8559984335064033280.000 8559984335064033280.000 16554980278328690688.000 85599843350640328704.000
N                                   0.000      0.000           0.000      0.000
M                              1445483362835717120.000 1445483362835717120.000 2710836360123798528.000 14454833628357187584.000
k1                                  0.000      0.000           0.000      0.000
k2                             35888059530608.641 -35624176739942.398 70571808682662.984 357576942762128.375
tau1                                0.000      0.000           0.000      0.000
tau2                           1979120929996.800 1979120929996.800 3762685408273.550 19791209299968.035
tauAch                         35756118135275.523 35756118135275.523 70902126549569.406 357561181352755.250
tauNor                              0.000      0.000           0.000      0.000
beta                                0.000      0.000           0.000      0.000
h0                             1445485341956647168.000 -1445485341956647168.000 2762041391716331008.000 14454853419566446592.000
mNor                           664903369065569892269637500928.000 -664903369065569892269637500928.000 1270501037640977815556212129792.000 6649033690655698922696375009280.000
mAch                           664903369074129968523873615872.000 664903369057009956752889741312.000 1311638442102700517178640171008.000 6649033690656564739724736987136.000
