Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             212.041     23.659          56.634    359.216
N                                 247.873    -29.362          70.397    434.645
M                                 256.602     62.464          68.694    427.512
k1                                229.493    -66.372          76.070    443.785
k2                                220.990     35.278          73.679    439.509
tau1                              289.191    -80.267          78.657    487.049
tau2                              224.969     -6.970          63.540    395.960
tauAch                            226.182     -0.688          62.307    392.246
tauNor                            195.503     20.732          63.481    383.830
beta                              258.468    -34.059          61.806    410.916
h0                                247.268      8.457          67.301    419.778
mNor                              319.725     72.256          82.258    519.717
mAch                              206.734     24.936          64.383    379.127
