Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             176.525     -0.652          51.351    314.591
N                                 242.748    -28.522          68.441    427.154
M                                 251.586     60.628          63.716    421.081
k1                                221.531    -66.051          73.041    436.588
k2                                212.345     37.842          74.472    427.432
tau1                              280.709    -80.500          76.859    476.225
tau2                              223.824    -10.983          63.317    393.376
tauAch                            214.534      3.381          61.909    384.315
tauNor                            194.700     13.929          64.259    376.332
beta                              252.619    -36.245          60.552    402.413
h0                                236.368     -8.167          67.891    410.448
mNor                              300.265     69.550          79.179    497.467
mAch                              189.253     20.128          60.149    357.972
