Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             100.721      1.756          26.745    175.410
N                                 136.638    -15.297          38.103    238.791
M                                 141.251     34.091          36.838    233.274
k1                                125.320    -36.479          40.517    239.454
k2                                120.938     19.203          41.071    239.937
tau1                              157.546    -44.857          41.793    262.441
tau2                              124.162     -5.241          34.328    216.563
tauAch                            122.166     -0.956          34.666    211.357
tauNor                            108.603      8.531          35.400    209.218
beta                              139.490    -15.920          33.991    223.571
h0                                132.082      1.643          35.327    225.098
mNor                              165.460     36.989          40.823    273.672
mAch                              105.534      9.491          32.141    197.167
