Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.951     -0.631          70.726    427.431
N                                 330.891    -39.031          91.777    581.230
M                                 342.360     82.783          89.773    572.268
k1                                301.640    -89.802         101.441    592.748
k2                                289.808     50.437          98.302    582.073
tau1                              382.142   -109.116         102.671    646.499
tau2                              304.155    -14.237          85.508    534.142
tauAch                            293.169      3.287          83.323    521.980
tauNor                            264.392     19.120          84.678    510.805
beta                              343.629    -48.376          84.834    547.002
h0                                321.484     -8.440          90.315    556.554
mNor                              407.594     94.095         107.719    675.428
mAch                              257.662     27.309          80.753    486.193
