Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             234.389     -3.160          69.784    421.657
N                                 325.154    -40.287          93.543    573.535
M                                 334.359     79.230          88.540    563.389
k1                                295.675    -88.501         106.006    585.716
k2                                282.824     49.361          97.634    571.478
tau1                              375.470   -106.488         103.208    639.625
tau2                              299.123    -13.105          82.904    527.471
tauAch                            284.800      4.971          81.332    515.199
tauNor                            260.536     16.137          86.299    505.624
beta                              339.381    -50.770          83.511    539.481
h0                                315.425    -11.760          88.285    549.994
mNor                              403.614     94.741         107.282    668.778
mAch                              254.675     28.379          81.537    481.630
