Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              16.059     -0.791           5.037     30.206
N                                  20.760      5.229           7.468     43.345
M                                  19.455     -5.124           6.086     36.859
k1                                 22.024      1.284          10.617     59.317
k2                                 28.365      5.086          13.050     72.720
tau1                               20.647      6.284           5.720     34.616
tau2                               15.270      0.062           4.515     27.367
tauAch                            148.430    130.688         240.719   1186.995
tauNor                           1385.073  -1370.638        2867.519  13683.324
beta                               25.303      7.378          15.155     80.761
h0                                137.079   -123.063         222.895   1185.228
mNor                               21.536     -5.268           5.623     35.339
mAch                               17.229      2.786           6.942     38.350
