Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             220.067     -3.499          61.092    388.395
N                                 303.698    -37.766          86.034    534.320
M                                 310.396     70.653          81.797    517.749
k1                                277.142    -82.681          93.384    536.908
k2                                263.235     42.993          91.772    526.408
tau1                              349.827    -97.105          92.188    590.125
tau2                              279.724    -12.307          73.268    487.500
tauAch                            263.016      3.809          73.967    470.014
tauNor                            242.846     11.479          76.614    468.202
beta                              314.410    -42.844          77.085    497.630
h0                                292.940     -6.033          78.351    502.948
mNor                              372.814     86.705          98.843    616.126
mAch                              238.593     25.824          71.786    443.460
