Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             239.178     -1.514          69.069    424.338
N                                 328.530    -40.296          91.369    577.680
M                                 339.166     82.140          88.057    568.061
k1                                299.129    -89.071          99.616    588.871
k2                                287.343     49.407          97.839    577.917
tau1                              379.454   -107.299         103.010    642.294
tau2                              301.010    -13.103          87.967    529.684
tauAch                            290.845      2.785          82.320    518.048
tauNor                            261.213     18.254          82.854    506.267
beta                              341.632    -48.924          80.991    543.547
h0                                319.236     -7.261          87.625    552.563
mNor                              404.357     93.548         104.860    670.905
mAch                              256.972     27.964          79.500    483.446
