Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             235.807     -4.580          69.436    424.893
N                                 328.323    -39.603          92.287    577.568
M                                 337.235     78.619          90.346    568.676
k1                                297.480    -88.540          99.166    590.634
k2                                286.220     49.847          98.635    576.785
tau1                              380.423   -107.019         105.528    645.761
tau2                              302.188    -12.435          85.089    531.955
tauAch                            287.674      5.566          86.540    523.010
tauNor                            264.418     15.108          82.558    510.457
beta                              343.407    -51.093          79.856    544.252
h0                                319.774    -14.545          88.587    555.601
mNor                              408.755     96.288         100.720    676.200
mAch                              257.549     28.936          78.947    487.156
