Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             204.248     -1.203          58.436    364.592
N                                 281.617    -33.510          78.799    495.761
M                                 291.119     69.994          78.056    488.396
k1                                256.838    -76.642          85.546    506.547
k2                                246.284     43.366          86.016    496.078
tau1                              325.314    -93.000          87.652    552.332
tau2                              259.635    -12.150          73.279    456.846
tauAch                            248.667      3.604          72.737    445.809
tauNor                            225.680     15.665          71.427    436.776
beta                              293.444    -42.527          68.368    467.025
h0                                273.733     -9.035          73.232    476.025
mNor                              348.242     80.910          92.976    577.191
mAch                              219.472     23.796          66.783    415.216
